name,tradeType,ticker,strikePrice,optionType,date,price,timePlaced
optionstrader,STC,SPY,400.0,C,4/1,0.85,2021-04-01 13:03:10.775440
HawaiianBeefy,STC,SPY,405.0,C,4/9,0.92,2021-04-01 13:06:21.043259
Sarah Roesler,BTO,AAPL,125.0,C,4/9,1.59,2021-04-05 08:55:35.983055
TripleThreat,BTO,AAPL,125.0,C,4/9,1.55,2021-04-05 08:56:53.429570
Chacha Chaudhary (Sunny),STC,TGT,210.0,C,4/16,1.42,2021-04-05 08:57:35.000822
skepticule,BTO,IWM,225.0,C,4/9,2.2,2021-04-05 08:57:42.133329
SkyRide7,BTO,SPY,400.0,C,4/16,1.94,2021-04-05 08:59:12.285911
Kromosome,BTO,AAPL,125.0,C,4/9,1.58,2021-04-05 08:59:18.773393
HawaiianBeefy,BTO,MA,370.0,C,4/09,8.112319369698345e+17,2021-04-05 08:59:32.386948
SkyRide7,BTO,SPY,400.0,P,4/16,1.94,2021-04-05 08:59:44.403348
HawaiianBeefy,BTO,MA,370.0,C,4/09,8.112319369698345e+17,2021-04-05 09:00:04.796901
HawaiianBeefy,BTO,MA,370.0,C,4/9,8.112319369698345e+17,2021-04-05 09:00:29.245473
Chacha Chaudhary (Sunny),STC,BBY,120.0,C,4/16,1.42,2021-04-05 09:03:03.075935
tydominguez,Stc,exc,21.0,C,5/21,0.42,2021-04-05 09:05:54.078469
tydominguez,Stc,exc,47.0,C,5/21,0.42,2021-04-05 09:07:18.993039
kharyss,BTO,DKNG,63.5,C,4/9,1.3,2021-04-05 09:08:48.790552
xXTotoNationXx,BTO,AAPL,125.0,C,4/9,1.58,2021-04-05 09:08:58.207202
tydominguez,Stc,so,65.0,C,5/21,0.55,2021-04-05 09:09:12.800291
tydominguez,Bto,amzn,3210.0,P,4/9,28.15,2021-04-05 09:15:25.741240
HawaiianBeefy,BTO,CHPT,20.0,P,4/9,0.03,2021-04-05 09:17:35.397950
netcrash,STC,TWTR,62.5,C,4/9,1.45,2021-04-05 09:18:23.642221
skepticule,STC,AAPL,124.0,P,4/9,0.75,2021-04-05 09:19:18.884140
slam,BTO,PTON,108.0,C,4/16,4.55,2021-04-05 09:27:16.980707
kharyss,STC,MA,370.0,C,4/9,3.6,2021-04-05 09:29:17.294036
ThetaHater,STC,NVDA,575.0,C,4/9,2.65,2021-04-05 09:29:28.888972
ThetaHater,STC,MA,370.0,C,4/9,3.75,2021-04-05 09:30:16.339467
Turtlemankam,BTO,TSLA,690.0,P,4/9,18.55,2021-04-05 09:31:06.108641
muu3,STC,MA,370.0,C,4/9,3.9,2021-04-05 09:32:46.060792
Kromosome,STC,SPY,406.0,P,4/5,0.37,2021-04-05 09:34:18.781601
netcrash,BTO,SPY,402.0,P,4/16,2.26,2021-04-05 09:36:34.867696
OddPopcorn,BTO,NIO,40.0,C,04/16,1.62,2021-04-05 09:36:39.917518
Turtlemankam,STC,TSLA,690.0,P,4/9,21.0,2021-04-05 09:39:15.067535
Relaxed Guru,STC,NVDA,565.0,C,4/9,5.2,2021-04-05 09:40:47.119606
Kromosome,STC,AAPL,125.0,C,4/9,1.9,2021-04-05 09:43:53.469035
Taylor,STC,TSLA,1000.0,C,7/16,15.4,2021-04-05 09:44:49.103711
Conny Cancun,BTO,PLTR,22.0,P,4/09,0.18,2021-04-05 09:47:48.689423
skepticule,BTO,BLNK,50.0,C,4/30,1.49,2021-04-05 09:48:45.373849
Roadkill(GR81),BTO,X,25.0,C,4/09,0.91,2021-04-05 09:49:46.548101
Emma T,BTO,SPY,404.0,P,4/07,0.87,2021-04-05 09:51:17.993788
skepticule,BTO,DOCU,212.5,C,4/9,1.1,2021-04-05 09:54:24.852393
dimes,BTO,AMD,82.5,C,4/16,1.42,2021-04-05 09:55:26.363298
tydominguez,Stc,amzn,3210.0,P,4/9,30.4,2021-04-05 09:56:27.743049
kharyss,BTO,TSLA,390.0,P,4/9,21.65,2021-04-05 09:57:23.617561
kharyss,BTO,TSLA,390.0,P,4/9,21.65,2021-04-05 10:00:15.529768
Devin 11,BTO,NVDA,575.0,C,4/16,7.3,2021-04-05 10:01:04.734172
OptionsNinja,BTO,SPY,404.0,P,4/5,0.12,2021-04-05 10:01:05.779292
tydominguez,Stc,wmt,140.0,C,6/18,5.12,2021-04-05 10:01:21.772456
OptionsNinja,BTO,OPEN,22.0,C,4/16,0.85,2021-04-05 10:05:37.969480
YOLOtrader,STC,NIO,37.0,C,4/9,0.7,2021-04-05 10:05:57.870842
SilverSurfer,BTO,MU,95.0,C,4/16,2.05,2021-04-05 10:06:59.318839
WallyWest,BTO,SPY,290.0,P,4/14,0.52,2021-04-05 10:08:54.612727
AV00,STO,VIAC,40.0,P,5/21,2.7,2021-04-05 10:08:55.602146
WallyWest,BTO,SPY,290.0,P,4/14,0.53,2021-04-05 10:09:56.716141
OptionsNinja,BTO,FUBO,22.0,C,4/9,0.66,2021-04-05 10:10:06.082561
Alexander_96,@here,BTO,85.0,C,5/21,3.6,2021-04-05 10:11:11.055678
naveen,BTO,JD,85.0,C,9/17,7.4,2021-04-05 10:14:55.228473
dragonfly888,STC,MU,95.0,C,4/9,1.11,2021-04-05 10:15:17.406806
Trigger,BTO,JD,85.0,C,5/21,3.65,2021-04-05 10:15:55.231749
Pikayou,BTO,JD,85.0,C,5/21,3.6,2021-04-05 10:15:58.933214
ThetaHater,STC,MU,95.0,C,4/9,1.41,2021-04-05 10:18:01.621790
Pikayou,BTO,GMBL,10.0,C,5/21,6.6,2021-04-05 10:18:32.185491
illectronic,BTO,ZM,325.0,C,4/9/21,5.0,2021-04-05 10:20:13.174199
naveen,STC,HOG,40.0,C,5/21,3.2,2021-04-05 10:20:21.602309
wmsbill,BTO,SPY,405.0,P,04/09,1.85,2021-04-05 10:22:47.421037
Kromosome,BTO,JD,85.0,C,5/21,3.6,2021-04-05 10:23:55.314520
Eco,BTO,AMD,81.0,C,4/09,1.32,2021-04-05 10:25:16.129203
OptionsNinja,BTO,TSLA,735.0,C,4/9,5.9,2021-04-05 10:26:01.961961
hyp3rstr34m,STC,TWTR,63.0,C,4/9,1.52,2021-04-05 10:27:06.308980
galangster,BTO,TSM,125.0,C,5/7,5.2,2021-04-05 10:28:42.294230
kharyss,BTO,NIO,40.0,C,4/9,1.2,2021-04-05 10:28:45.097672
galangster,BTO,QCOM,141.0,C,4/23,3.39,2021-04-05 10:29:13.089903
The1Don,BTO,ON,43.5,C,4/16,1.5,2021-04-05 10:30:18.655875
omnist,Stc,vz,58.0,C,4/9,0.91,2021-04-05 10:31:14.161213
Александр Наркомандр (shurkin),BTO,PAYX,100.0,P,4/16,1.8,2021-04-05 10:32:05.608421
chasincam,BTO,EBON,7.5,C,4/16,0.59,2021-04-05 10:36:03.791836
Turtlemankam,BTO,ZM,330.0,C,4/9,3.6,2021-04-05 10:41:11.789700
The1Don,STC,ON,43.5,C,4/16,1.6,2021-04-05 10:41:12.286824
OptionsNinja,BTO,TQQQ,95.0,P,4/9,0.85,2021-04-05 10:43:17.281528
Pikayou,STC,MA,360.0,C,4/9,8.112319369698345e+17,2021-04-05 10:47:04.295403
justinsullivan,BTO,ZM,330.0,C,4/21/21,7.3,2021-04-05 10:47:22.994931
kharyss,BTO,FB,305.0,P,4/9,3.45,2021-04-05 10:47:37.751508
Pikayou,STX,MA,370.0,C,4/9,3.3,2021-04-05 10:47:37.841529
justinsullivan,BTO,ZM,330.0,C,4/21,7.3,2021-04-05 10:48:29.325406
Pikayou,STC,MA,370.0,C,4/9,8.112319369698345e+17,2021-04-05 10:48:33.624552
Pikayou,STC,MA,370.0,C,4/9,8.112319369698345e+17,2021-04-05 10:49:12.677555
ThetaHater,STC,UA,18.5,C,4/16,0.8,2021-04-05 10:49:32.887913
Pikayou,STC,MA,370.0,C,4/9,3.4,2021-04-05 10:49:33.268672
omnist,Stc,dnn,1.0,C,5/21,0.3,2021-04-05 10:52:14.603208
OptionsNinja,STC,SPY,404.0,P,4/5,0.1,2021-04-05 10:54:12.553555
justinsullivan,BTO,ZM,330.0,C,4/21,7.6,2021-04-05 10:57:49.580460
Pikayou,BTO,dkng,65.0,C,5/21,5.1,2021-04-05 10:58:52.666970
Pikayou,BTO,dkng,65.0,C,5/21,4.5,2021-04-05 10:59:30.843855
Devin 11,STC,NVDA,575.0,C,4/16,8.05,2021-04-05 11:01:54.714280
TripleThreat,STC,AAPL,125.0,C,4/9,2.03,2021-04-05 11:03:03.406178
